the,5763
a,5021
to,4524
i,4470
and,4459
is,3984
of,3969
in,3777
it,3747
that,3729
for,3433
with,3091
on,3081
but,2985
you,2772
have,2675
not,2642
be,2582
are,2449
my,2418
car,2386
toyotad,2348
at,2303
aspirations,2272
as,2231
they,2120
or,2103
was,2102
if,2082
so,1954
an,1819
this,1808
just,1807
one,1791
bmw,1788
would,1733
its,1731
like,1705
more,1699
has,1673
about,1585
all,1581
cars,1551
can,1493
get,1483
will,1472
what,1470
from,1446
new,1442
me,1433
think,1419
than,1406
no,1348
up,1347
out,1323
had,1315
do,1291
dont,1291
some,1258
when,1253
there,1228
audi,1212
even,1174
im,1172
well,1104
good,1099
now,1092
much,1082
their,1046
your,1022
really,1019
only,1013
which,1011
time,1000
too,961
by,960
know,958
still,928
them,927
then,923
s,921
been,901
very,896
we,895
other,893
how,885
also,884
over,869
drive,864
better,862
same,861
could,859
years,851
any,840
see,833
were,822
acura,813
price,811
go,806
those,789
people,764
who,748
back,730
here,730
most,723
way,723
make,720
3,699
going,693
did,678
d,675
honda,674
say,664
many,646
probably,637
into,634
dealer,633
these,625
right,624
less,618
lot,611
sure,609
nice,609
because,608
something,599
driving,595
previous,594
miles,594
got,594
since,592
year,592
thats,587
show,586
take,586
does,584
should,584
ive,583
being,576
seems,574
why,564
thing,561
used,549
engine,548
first,545
least,532
off,527
doesnt,525
never,524
look,524
need,511
us,511
s4,511
buy,508
model,507
last,504
point,502
cant,501
few,501
where,494
sport,493
id,491
may,490
both,487
great,487
want,485
performance,478
pretty,478
after,472
while,469
course,468
though,465
long,463
money,463
old,459
he,459
am,457
might,457
every,457
maybe,453
quotes,452
big,450
actually,449
around,445
5,438
another,438
2,437
tchrysler,437
4,435
lease,432
didnt,431
find,431
looking,429
luxury,426
two,423
little,422
bit,422
test,414
cost,412
always,410
series,407
getting,405
market,404
looks,404
however,396
before,395
etc,385
different,385
awd,385
things,381
keep,381
best,375
put,372
far,371
current,369
infiniti,369
tl,369
next,364
use,363
sedan,363
high,362
power,360
volkswagen,360
brand,360
premium,360
mercedesbenz,359
isnt,358
made,357
end,356
come,356
toyota,355
our,354
feel,353
his,353
thought,351
lexus,350
again,348
either,344
almost,339
quite,339
yes,338
interior,338
makes,337
without,335
couple,334
6,333
once,332
perhaps,332
deal,331
guess,328
agree,325
work,322
sales,322
yet,321
level,319
dealers,319
having,318
bought,318
anything,315
comes,315
vehicle,314
ever,314
real,311
close,309
today,308
change,308
ago,306
seem,306
experience,303
hp,303
class,302
package,300
enough,297
under,296
top,294
base,294
cadillac,292
seats,291
reason,290
transmission,290
standard,290
1,290
models,289
pay,287
give,287
interesting,286
service,286
drove,283
low,283
such,282
ford,282
ill,282
part,281
road,281
issue,280
wife,279
months,279
manual,278
read,278
small,276
between,275
day,273
steering,273
nothing,272
hard,272
bad,272
line,271
expensive,271
fact,270
hyundai,270
days,269
wouldnt,267
tires,266
true,265
msrp,265
plus,264
certainly,263
driven,263
difference,261
turbo,260
option,260
leather,260
v6,258
love,255
flightnurse,255
warranty,254
went,254
audis,254
ellps,252
sell,252
torque,251
issues,250
done,250
10,249
value,249
given,248
fun,248
times,247
believe,245
problem,245
vehicles,244
front,243
until,242
options,242
available,240
based,240
others,239
tell,239
ltoyota,237
able,236
system,235
vs,233
mb,233
live,233
especially,231
version,231
extra,231
speed,230
through,230
20,229
came,229
oil,228
someone,228
already,227
youre,227
suspension,227
auto,226
rear,226
case,225
cts,225
buying,224
german,224
stickguy,223
kind,222
away,222
wont,221
rather,220
ed,219
volvo,219
driver,218
wrong,217
doing,217
wheel,217
size,216
month,215
wheels,214
seat,213
lower,212
start,212
wanted,212
ats,212
fine,211
side,211
must,210
longer,209
offer,209
320i,208
found,207
mpg,206
engines,206
dealership,206
wasnt,205
mean,204
t,204
add,203
care,203
took,201
says,201
rwd,200
often,199
similar,199
higher,197
gets,197
coming,197
saw,197
else,196
remember,196
everything,195
above,195
due,194
ride,194
free,193
gas,193
entry,193
anyone,192
making,192
number,191
prices,190
run,188
assume,188
past,188
fwd,188
second,188
tech,188
handling,188
cheap,187
let,187
diesel,186
seen,186
buyers,185
track,185
worth,185
looked,185
sound,184
simply,184
likely,184
chevrolet,184
compared,184
theres,183
30,183
2014,183
per,183
numbers,183
ok,182
folks,182
maintenance,181
m,181
each,181
three,180
50k,180
features,180
short,179
sense,179
roadburner,179
guy,178
unless,177
reliability,177
wonder,177
arent,176
company,176
havent,176
mind,176
brands,175
stuff,175
wait,175
possible,175
thinking,173
world,172
sports,172
fuel,170
fast,170
place,170
consider,169
sold,169
exactly,169
she,169
saying,168
audi0,168
life,168
choice,167
understand,167
order,167
although,167
matter,166
full,166
left,165
several,165
loaded,165
him,165
equipped,164
selling,164
mileage,163
overall,163
kia,163
her,163
markcincinnati,163
goes,162
later,161
’,161
build,160
mark,160
call,159
set,159
told,159
quality,158
range,158
example,158
try,156
whatever,155
check,155
320,155
c,155
name,154
trying,154
sometimes,154
8,153
smaller,153
ones,153
theyre,153
hit,153
built,153
2015,153
myself,152
post,150
gm,150
customers,150
usually,149
called,149
within,149
graphicguy,149
means,148
btw,148
problems,148
er,147
certain,147
turn,147
oh,147
hope,147
drives,146
pricing,145
7,144
bmws,144
local,144
needs,144
fit,143
talking,143
328,143
couldnt,143
mine,143
anyway,142
heard,142
happy,142
idea,142
technology,141
question,141
week,141
mentioned,141
spend,140
costs,140
talk,140
grand,140
black,140
recently,139
amount,139
comparison,138
cla,138
thanks,137
hand,137
move,137
motor,136
along,136
drivers,136
dino001,136
stock,136
basically,135
red,135
huge,135
mostly,134
highway,134
nearly,134
gt,134
wifes,134
whole,134
quick,133
near,133
subaru,133
mazda,133
lots,133
yeah,133
coupe,133
porsche,132
knows,132
including,132
offered,132
somewhat,132
customer,132
home,131
interested,131
15,131
2013,130
against,130
instead,130
bigger,130
shop,130
imho,129
behind,129
using,129
faster,129
automatic,128
50,128
imagine,128
felt,127
article,127
parts,127
started,127
door,127
job,127
needed,126
changed,126
tire,126
special,125
forum,125
stick,125
soon,125
2016,125
definitely,124
manufacturers,124
sedans,124
doubt,123
ers,123
person,123
color,123
light,123
seemed,123
feels,123
apparently,122
reliable,122
stop,122
sounds,122
control,122
